folder_name,file_name,size_bytes,server_modified,path_display,id
2025_09_30,0000005272_0000005272_25_000152_2025_09_30.parquet,14360,2025-11-14T11:38:11,/Nizar/sec_forms/2025_09_30/0000005272_0000005272_25_000152_2025_09_30.parquet,id:q8Gozjz1MYAAAAAAAAJPNg
2025_09_30,0000002230_0001104659_25_101562_2025_09_30.parquet,18997,2025-11-14T11:38:12,/Nizar/sec_forms/2025_09_30/0000002230_0001104659_25_101562_2025_09_30.parquet,id:q8Gozjz1MYAAAAAAAAJPOA
2025_09_30,0000004962_0000004962_25_000236_2025_09_30.parquet,14578,2025-11-14T11:38:12,/Nizar/sec_forms/2025_09_30/0000004962_0000004962_25_000236_2025_09_30.parquet,id:q8Gozjz1MYAAAAAAAAJPOQ
2025_09_30,0000004977_0001628280_25_049287_2025_09_30.parquet,14601,2025-11-14T11:38:12,/Nizar/sec_forms/2025_09_30/0000004977_0001628280_25_049287_2025_09_30.parquet,id:q8Gozjz1MYAAAAAAAAJPOg
2025_09_30,0000007195_0000007195_25_000006_2025_09_30.parquet,20065,2025-11-14T11:38:12,/Nizar/sec_forms/2025_09_30/0000007195_0000007195_25_000006_2025_09_30.parquet,id:q8Gozjz1MYAAAAAAAAJPOw
2025_09_30,0000007789_0000007789_25_000175_2025_09_30.parquet,30918,2025-11-14T11:38:12,/Nizar/sec_forms/2025_09_30/0000007789_0000007789_25_000175_2025_09_30.parquet,id:q8Gozjz1MYAAAAAAAAJPPA
2025_09_30,0000014745_0000014745_25_000008_2025_09_30.parquet,46095,2025-11-14T11:38:16,/Nizar/sec_forms/2025_09_30/0000014745_0000014745_25_000008_2025_09_30.parquet,id:q8Gozjz1MYAAAAAAAAJPPQ
2025_09_30,0000024386_0000024386_25_000009_2025_09_30.parquet,21161,2025-11-14T11:38:16,/Nizar/sec_forms/2025_09_30/0000024386_0000024386_25_000009_2025_09_30.parquet,id:q8Gozjz1MYAAAAAAAAJPPg
2025_09_30,0000039263_0000039263_25_000119_2025_09_30.parquet,79759,2025-11-14T11:38:16,/Nizar/sec_forms/2025_09_30/0000039263_0000039263_25_000119_2025_09_30.parquet,id:q8Gozjz1MYAAAAAAAAJPPw
2025_09_30,0000040417_0000040417_25_000050_2025_09_30.parquet,18108,2025-11-14T11:38:16,/Nizar/sec_forms/2025_09_30/0000040417_0000040417_25_000050_2025_09_30.parquet,id:q8Gozjz1MYAAAAAAAAJPQA
2025_09_30,0000040545_0000040545_25_000134_2025_09_30.parquet,14412,2025-11-14T11:38:16,/Nizar/sec_forms/2025_09_30/0000040545_0000040545_25_000134_2025_09_30.parquet,id:q8Gozjz1MYAAAAAAAAJPQQ
2025_09_30,0000045319_0000045319_25_000005_2025_09_30.parquet,26430,2025-11-14T11:38:16,/Nizar/sec_forms/2025_09_30/0000045319_0000045319_25_000005_2025_09_30.parquet,id:q8Gozjz1MYAAAAAAAAJPQg
2025_09_30,0000049969_0000049969_25_000016_2025_09_30.parquet,34057,2025-11-14T11:38:19,/Nizar/sec_forms/2025_09_30/0000049969_0000049969_25_000016_2025_09_30.parquet,id:q8Gozjz1MYAAAAAAAAJPQw
